slug,name,compound_class,outcome,grade,base,effect,caveat
larazotide,"Larazotide (AT-1001, Larazotide Acetate)",peptide,"Celiac disease (the lead, best-studied use)",D,Positive Phase 2b (342 pts) → but Phase 3 CeDLara discontinued for futility (2022),,"The defining fact: reached Phase 3 and failed — couldn't feasibly beat placebo. Not ""untested"" — tested and negative at the pivotal stage"
larazotide,"Larazotide (AT-1001, Larazotide Acetate)",peptide,Tight-junction / permeability mechanism,C,Well-characterized: zonulin antagonism; MLCK inhibition; rodent + porcine barrier-repair models,,The biology of tight-junction regulation is real and elegant; it didn't translate to a positive clinical endpoint
larazotide,"Larazotide (AT-1001, Larazotide Acetate)",peptide,"""Leaky gut"" / general gut health (the gray-market pitch)",F,No approved indication; concept-level only,,The broad wellness claim is not supported; even the targeted celiac trial failed
larazotide,"Larazotide (AT-1001, Larazotide Acetate)",peptide,"Adjacent indications (MIS-C, intestinal ischemia)",F,"Early/preclinical (porcine ischemia repair, pediatric research)",,Exploratory; nothing established
larazotide,"Larazotide (AT-1001, Larazotide Acetate)",peptide,Safety,B,Extensive trial exposure; gut-restricted (minimal systemic absorption),,"Generally well-tolerated in trials (a genuine plus — its problem was efficacy, not safety); long-term chronic-modulation effects unestablished"
liraglutide,Liraglutide,peptide,Type-2 diabetes glycemic control,A,Phase 3 (LEAD programme); FDA-approved,Robust HbA1c reduction,Slightly less than semaglutide (SUSTAIN-10)
liraglutide,Liraglutide,peptide,Chronic weight management (obesity),A,SCALE Phase 3 (~8.4% at 56 wk); FDA-approved (first GLP-1 for obesity),Meaningful weight loss,Less than semaglutide (~15%) / tirzepatide (~22%); daily injection; head-to-head STEP 8 = 6.4% vs 15.8%
liraglutide,Liraglutide,peptide,Cardiovascular risk reduction (T2D + CVD),A,"LEADER (n=9,340); FDA-approved",13% reduction in major CV events,In T2D + established CVD only — not generalisable to non-diabetic obesity (unlike semaglutide's SELECT)
liraglutide,Liraglutide,peptide,Pediatric obesity (adolescents 12+),A,Kelly 2020 (NEJM); FDA-approved,Reduced BMI standard-deviation score,Longest pediatric track record in the class
liraglutide,Liraglutide,peptide,Safety,,Large trials + 15+ years post-marketing,Well-characterised (longest record in class),GI effects; gallbladder events (1–2%); rare pancreatitis; boxed thyroid C-cell warning (rodent); more injection-site reactions (7× the injections of a weekly drug)
ll-37,LL-37 (Cathelicidin),peptide,Endogenous antimicrobial defense,A,Extensive: potent broad-spectrum membrane-disrupting killing; surges in wounds,,This grades LL-37's natural role — NOT a demonstrated benefit of taking exogenous LL-37
ll-37,LL-37 (Cathelicidin),peptide,Exogenous wound healing / antimicrobial therapy (the marketed use),D,Preclinical / early; angiogenic & pro-healing in models,,No approved product; no human trials establishing efficacy or safety of exogenous use
ll-37,LL-37 (Cathelicidin),peptide,Role in rosacea (as a cause),A,Strong: abnormal processing → pro-inflammatory fragments → erythema/telangiectasia,,"This is evidence it drives disease — a reason for caution, not a therapeutic credential"
ll-37,LL-37 (Cathelicidin),peptide,Role in psoriasis / lupus (as a cause),A,Strong: LL-37+self-DNA→TLR9→break self-tolerance; T-cell autoantigen; NET/IFN in SLE,,"Again: robust evidence of harm/pathogenic role, underscoring the risk of exogenous use"
ll-37,LL-37 (Cathelicidin),peptide,Safety of exogenous administration,,Not established in humans,,It's a pro-inflammatory alarmin; plausible to trigger/worsen inflammatory-autoimmune skin disease; contraindicated intuition for rosacea/psoriasis-prone users
matrixyl,Palmitoyl Pentapeptide-4,peptide,"Topical: appearance of photoaged skin (fine lines, wrinkle depth, roughness)",B,"Robinson 2005 — 12-week split-face, double-blind, vehicle-controlled RCT, n=93",Statistically significant improvement vs placebo,"Best-evidenced cosmetic peptide of this set, but effect is modest; single main RCT; small"
matrixyl,Palmitoyl Pentapeptide-4,peptide,"ECM synthesis in vitro (collagen I/III, fibronectin, HA; MMP-1↓, TIMP-1↑)",B,Fibroblast assays at ~3 ppm,Substantial stimulation,"In vitro; the eye-catching ""+117%/+327%"" figures are cell-culture, not human outcomes"
matrixyl,Palmitoyl Pentapeptide-4,peptide,Comparable to retinol,C,Some measures vs low-dose retinol (~0.07%),"Comparable on select endpoints, far gentler",Not equivalent to prescription retinoids; comparison is to low-concentration retinol
matrixyl,Palmitoyl Pentapeptide-4,peptide,Skin penetration at cosmetic doses,,Efficacy seen at 3–5 ppm; formal dose-escalation not published,Palmitoyl tail improves penetration,"Better than plain KTTKS, but a formal 1–50 ppm dose study is lacking"
matrixyl,Palmitoyl Pentapeptide-4,peptide,"""Collagen-boosting"" collagen synthesis in human skin",D,Marketing claim,,"The 12-week vehicle-controlled human trial measured appearance — fine lines, wrinkle depth, roughness — not collagen synthesis in skin; the collagen mechanism itself rests on fibroblast culture"
matrixyl,Palmitoyl Pentapeptide-4,peptide,"""+117% collagen"" the quoted magnitude",D,Marketing claim,,"The +117% figure is a fibroblast cell-culture readout, not a human result. The human data is a single unreplicated manufacturer-run biopsy study showing raised collagen and elastin markers over about four months of twice-daily use — the right direction, well short of the quoted magnitude"
matrixyl,Palmitoyl Pentapeptide-4,peptide,Safety (topical),,Broad cosmetic use,Well tolerated; no photosensitivity,Non-irritating; suitable for sensitive skin
mazdutide,Mazdutide (IBI362 / LY3305677),peptide,"Weight loss (obesity, no diabetes)",A,Phase 3 GLORY-2 (2025): ~20.1% at / 60 wk; GLORY-1 (NEJM 2025) positive → China NMPA approval,,"Approved, strong efficacy — but pivotal data are Chinese-population only; not approved/validated elsewhere yet. The ""A"" is region-qualified"
mazdutide,Mazdutide (IBI362 / LY3305677),peptide,Glycemic control (T2D),A,"DREAMS-1/-2 (Nature, 2025) vs placebo; DREAMS-3 head-to-head superior to semaglutide → NMPA T2D approval",,Approved for T2D in China; head-to-head win is notable; same population caveat
mazdutide,Mazdutide (IBI362 / LY3305677),peptide,Visceral / hepatic fat,B,"Glucagon-arm effect; reported waist-circumference, lipid, BP improvements",,Consistent metabolic benefits reported; dedicated MASH-histology program less developed than Survodutide's
mazdutide,Mazdutide (IBI362 / LY3305677),peptide,"Cardiometabolic risk factors (BP, lipids, waist)",B,Phase 3 secondary endpoints,,Improvements reported alongside weight/glucose; long-term CV-outcome trial not the headline here
mazdutide,Mazdutide (IBI362 / LY3305677),peptide,Safety / tolerability,,Phase 1b→3 (GLORY/DREAMS),,"GI predominant (nausea ~21–41%, diarrhea, vomiting — dose-escalation, then settle); mild-moderate; only 2.9% discontinued in GLORY-2; glucagon arm still requires glucose-balanced titration (like all GCGR/GLP-1 duals)"
melanotan-ii,Melanotan II,peptide,Skin tanning (the marketed use),C,Small human studies (Dorr 1996; Phase 1 tanning),"Genuine, dose-dependent tanning","The effect is real, but no completed safety/efficacy trial; not approved; efficacy is not the problem — safety is"
melanotan-ii,Melanotan II,peptide,Erectile / arousal effect,C,Small trials (Wessells 1998),Erection induction,This effect became PT-141's domain; MT-II itself unapproved
melanotan-ii,Melanotan II,peptide,"""Safe sunless tanning"" claim",F,—,Misframing,"The risk profile below makes ""safe"" inaccurate"
melanotan-ii,Melanotan II,peptide,Safety / serious adverse events,,Case-report literature + trial AEs,Serious concerns,"Documented in case reports: priapism (sometimes needing surgery), changing/darkening moles (complicating melanoma detection), rhabdomyolysis, renal infarction, posterior reversible encephalopathy syndrome (PRES); plus routine nausea/flushing. Whether MT-II causes melanoma is unproven and confounded by users' extra UV-seeking — but the pigment/mole changes are a real monitoring problem"
mgf,"MGF / PEG-MGF (Mechano Growth Factor, IGF-1Ec)",peptide,Satellite-cell (muscle stem-cell) activation / proliferation,D,Well-characterised in cell/animal models — MGF E-peptide activates quiescent satellite cells where mature IGF-1 barely does,,"Genuinely distinct, reproducible preclinical biology — but not demonstrated as a human therapy"
mgf,"MGF / PEG-MGF (Mechano Growth Factor, IGF-1Ec)",peptide,Muscle repair / hypertrophy (the marketed use),F,Animal / model data on the MGF→IGF-1Ea repair cascade,,Very limited human data; no controlled human hypertrophy/repair trials establishing efficacy
mgf,"MGF / PEG-MGF (Mechano Growth Factor, IGF-1Ec)",peptide,Aged-muscle / regeneration,F,Observation: aged muscle shows a blunted MGF response to loading vs young,,Interesting rationale (maybe why older muscle repairs slower) — but human interventional data absent
mgf,"MGF / PEG-MGF (Mechano Growth Factor, IGF-1Ec)",peptide,PEG-MGF as a practical agent,,PK: PEGylation extends half-life from ~minutes to ~hours/≈24 h,,"Solves the half-life problem mechanically, but subcutaneous kinetics not formally characterised, and unregulated PEG products vary widely batch-to-batch"
mgf,"MGF / PEG-MGF (Mechano Growth Factor, IGF-1Ec)",peptide,Safety,,Little formal human data,,"Injection-site pain/swelling common; no long-term data on chronically/artificially activating muscle stem cells; theoretical concerns (scar tissue, unregulated growth signalling) unquantified"
mk-677,MK-677 (Ibutamoren),small_molecule,GH / IGF-1 elevation,B,~30 years of trials (Chapman 1996; Svensson 1998; many),Sustained rise in GH & IGF-1,Well-established biomarker effect — which is not the same as a clinical benefit
mk-677,MK-677 (Ibutamoren),small_molecule,Slow-wave (deep) sleep,B,Documented across trials,Meaningful increase in stage-IV sleep,"A genuine, often most-noticed effect"
mk-677,MK-677 (Ibutamoren),small_molecule,Fat-free (lean) mass,C,"Nass 2008 (Ann Intern Med, 2 yr, n=65): FFM +1.1 kg",Modest lean-mass gain,No strength or functional improvement — the key honest limit
mk-677,MK-677 (Ibutamoren),small_molecule,Anti-aging / physique / strength (the popular use),F,Lean-mass gain doesn't translate to function; appetite drives fat gain,Not demonstrated for these goals,The FFM gain ≠ performance; ghrelin-driven hunger causes fat gain in physique use
mk-677,MK-677 (Ibutamoren),small_molecule,Failed / halted indications,,Alzheimer's (Sevigny 2008 — no effect); hip-fracture trial (Adunsky 2011) terminated early on a CHF signal,Negative / safety-halted,The congestive-heart-failure signal in elderly is a serious flag
mk-677,MK-677 (Ibutamoren),small_molecule,Safety,,Multiple trials,Real concerns,Insulin resistance / elevated fasting glucose (primary risk); lower-extremity edema; appetite → fat gain; modest prolactin rise; theoretical oncogenic concern (sustained IGF-1); CHF signal; WADA-banned
mots-c,MOTS-c,peptide,Insulin sensitivity / glucose metabolism / metabolic homeostasis,C,"Strong preclinical — Lee 2015 (Cell Metab) + multiple rodent studies (diet-induced obesity, T1D/T2D models)",Consistent improvement in animals,"Mechanistically coherent and multi-lab, but no human efficacy RCT"
mots-c,MOTS-c,peptide,Exercise-mimetic / physical capacity,D,"Rodent studies + human observation (Reynolds 2021, Nat Commun: exercise raises muscle MOTS-c ~12-fold)",Suggestive,"""Mimics exercise"" ≠ ""replaces exercise""; no human administration trial"
mots-c,MOTS-c,peptide,Aging / healthspan,D,Preclinical + observational (levels decline with age; restored in aged mice by injection),Suggestive,"Human data is correlational, not interventional"
mots-c,MOTS-c,peptide,"Marketed ""anti-aging / metabolic fix"" in humans",F,None,Not demonstrated,Human efficacy unproven; hype outruns evidence
mots-c,MOTS-c,peptide,Safety & long-term,,No human efficacy/safety RCT,Unknown,"WADA-banned; vendor guidance flags caution for cardiac arrhythmia, malignancy, pregnancy — i.e. unknown risk"
nad-plus,NAD+ (and its precursors NMN / NR),small_molecule,Raising NAD⁺ levels (the biomarker),A,"Multiple RCTs: NMN/NR reliably ↑ blood NAD⁺ (~40–59% at modest doses), safely",,"This grades ""does it raise NAD⁺"" — YES. It does not mean the downstream health claims are proven"
nad-plus,NAD+ (and its precursors NMN / NR),small_molecule,Physical function / muscle / strength (healthy older adults),F,"2025 meta-analysis, 10 RCTs: no benefit",,"The clearest negative: marker up, function unchanged"
nad-plus,NAD+ (and its precursors NMN / NR),small_molecule,Metabolic health (general),D,Human trials mostly failed to reproduce animal results,,"Some signals; overall ""iffy"" per researchers"
nad-plus,NAD+ (and its precursors NMN / NR),small_molecule,"Specific clinical populations (prediabetes ♀, early Parkinson's, PAD)",C,Small trials with some promising results,,"Population-specific, preliminary, needs replication in large trials"
nad-plus,NAD+ (and its precursors NMN / NR),small_molecule,Longevity / lifespan (humans),F,No human lifespan data; mouse data (female-biased),,Untestable short-term; the core claim is unproven in people
nad-plus,NAD+ (and its precursors NMN / NR),small_molecule,Safety,B,Extensive human exposure,,Generally well-tolerated and safe short-term (a genuine plus); long-term/high-dose and IV-specific safety less characterised; NMN regulatory status contested
naringenin,Naringenin,small_molecule,Topical: anti-oxidative barrier protection,B,Ruscinc et al. 2024 (Frontiers in Chemistry) — comparative study of 4 polyphenols in 0.1% gels; naringenin the only one showing significant anti-lipoperoxidation in stratum corneum (others were pro-oxidant under UV stress),"Reduction of UV-induced lipid peroxidation in stratum corneum; superior to chlorogenic acid, apigenin, kaempferol",In vitro / ex vivo skin model; not a visible-outcome human RCT; independent replication with clinical endpoints still lacking
naringenin,Naringenin,small_molecule,Topical: MMP-1 suppression / anti-photoaging (mechanism),B,Yin 2016 (J Cell Mol Med) — naringenin binds ERK2 and suppresses UVB-induced MMP-1 in cells and mice; Martinez 2016 (PLOS ONE) — topical naringenin cream reduced UVB-induced skin inflammation and oxidative damage in hairless mice; Martinez 2023 (Cosmetics MDPI) — UVB and pollution protection in human skin cells,"Consistent anti-inflammatory, anti-oxidative, MMP-suppressing activity across independent labs","All independent evidence is in-vitro (cells, reconstructed epidermis) or animal (mice); no independent human RCT with visible endpoints"
naringenin,Naringenin,small_molecule,Anti-inflammatory (skin senescence / inflammaging mechanism),B,"Kim 2018 (Biomedical Dermatology) — human dermal fibroblasts; naringenin activates SIRT1, blocks NF-κB, reduces MMP expression. Published 6 years before Deinde launch, no brand affiliation.",Reduction of inflammatory cytokines and MMPs in fibroblast cell models,"In vitro; effect in living skin harder to demonstrate; brand-affiliated claims of ""15× more effective than niacinamide"" derive from cell-culture single-biomarker comparison at unmatched concentrations — not head-to-head clinical"
naringenin,Naringenin,small_molecule,Visible anti-aging / inflammaging (finished product),C,"Deinde in-house RCT — 8 weeks, placebo-controlled, double-blind, n=30, 0.45% naringenin serum; 100% moisture/elasticity, 97% fine-line reduction reported",Improvement in subject-assessed and instrumental endpoints,"Small sample size; in-house / brand-run; no independent replication; ""% of participants improved"" does not report magnitude of change"
naringenin,Naringenin,small_molecule,Pigmentation / melanogenesis (in-vitro),C,Martinez 2023 — pigmented reconstructed epidermis; naringenin reduced pigmentation-related gene expression and melanin content,In-vitro pigmentation reduction,Not translated to clinical endpoints; other polyphenols show similar in-vitro effects that do not translate to visible in vivo results
naringenin,Naringenin,small_molecule,"""15x more effective than niacinamide"" superiority",F,Marketing claim,,"No human study compares this compound to niacinamide. The only human trial ran against a vehicle control, not against niacinamide, and measured moisture, elasticity and fine lines. The multiplier comes from a single inflammatory marker in cell culture at concentrations that were not matched between the two ingredients. A ratio between two ingredients requires both of them in one study; that study has never been run."
naringenin,Naringenin,small_molecule,"""Interrupts the root cause of skin aging"" causal claim",D,Marketing claim,,"The one human trial — 8 weeks, placebo-controlled, double-blind, n=30 — measured moisture, elasticity and the appearance of fine lines. It did not measure inflammaging or any causal driver of aging, and the inflammaging mechanism itself rests on cultured human dermal fibroblasts. Two things remain unshown: that inflammaging is a settled single root cause of skin aging, and that this compound interrupts it in living skin. The trial measured appearance; the promise asserts cause."
naringenin,Naringenin,small_molecule,Safety (topical),,Ruscinc 2024 HET-CAM assay — non-irritating; decades of dietary exposure (citrus consumption); no significant topical safety signals,Well tolerated,Photostability of the molecule under UV requires appropriate formulation; grapefruit-derived versus biotech-fermented forms are chemically identical
niacinamide,Niacinamide (Vitamin B3),small_molecule,"Topical: hyperpigmentation (melasma, PIH, age spots) at 2–5%",A,"Multiple double-blind, split-face, vehicle-controlled RCTs (Hakozaki 2002 n=18 and n=79 dose-response; Kimball 2010; 2005 sallowness split-face n=~200); recent 2025 narrative reviews confirm consistent effect",Measurable reduction of melanin transfer to keratinocytes; visible skin-tone improvement over 8–12 weeks,Smaller than hydroquinone in head-to-head trials; better tolerated; typically requires 8+ weeks of twice-daily use
niacinamide,Niacinamide (Vitamin B3),small_molecule,Barrier function / TEWL (2–5%),A,Controlled trials showing measurable ceramide/free fatty acid synthesis increase and TEWL reduction; Kimball 10-week trial with 4% NAM + N-acetylglucosamine,"Improved stratum corneum integrity, reduced water loss",Formulation and vehicle matter; mechanism robust in vitro and in vivo
niacinamide,Niacinamide (Vitamin B3),small_molecule,Fine lines and appearance of photoaging (5–6%),B,RCT of 6% niacinamide formulation reporting ~15% fine-line reduction; JAAD split-face sallowness study,Modest visible improvement in appearance of fine lines and texture,Smaller than tretinoin/retinoids; multi-active formulations make isolated effect hard to prove
niacinamide,Niacinamide (Vitamin B3),small_molecule,Sebum/oiliness reduction (2–4%),B,Multiple controlled trials at 2% and 4% for 2–4 weeks,Measurable reduction in sebum excretion rate,Effect modest; some trials mixed; regional variability (better in Asian studies)
niacinamide,Niacinamide (Vitamin B3),small_molecule,Acne vulgaris (topical 4%),B,Randomized trials vs clindamycin 1%; comparable efficacy on inflammatory lesions,Reduction in inflammatory lesion count,"Consumer skincare framing: use as appearance/comfort adjunct, not medicine"
niacinamide,Niacinamide (Vitamin B3),small_molecule,"Systemic / oral high-dose ""anti-aging"" claims",D,Small metabolic studies; oral NAM supplementation for photoprotection,Oral 500 mg BID reduced non-melanoma skin cancer incidence in ONTRAC trial; unrelated to cosmetic topical claims,Systemic dosing outside cosmetic scope; do not conflate oral clinical data with topical serum claims
niacinamide,Niacinamide (Vitamin B3),small_molecule,"""High-strength 10%+"" superiority over the proven 2–5% range",D,Marketing claim,,"The comparison exists in humans — 2%, 5% and 10% tested on sebum and hydration — and 10% did not beat 5%. Every controlled result graded on this page sits at 2–6%. The extra strength adds flushing and tingling, not proportionate benefit."
niacinamide,Niacinamide (Vitamin B3),small_molecule,Safety (topical),,Decades of widespread cosmetic use; controlled trials,Generally well tolerated,Occasional mild flushing/tingling at higher concentrations; rare contact reactions; concentrations >10% not shown to add benefit
noopept,Noopept (Omberacetam),small_molecule,"Cognitive impairment / MCI (vascular, traumatic — approved Russian use)",C,"Russian RCTs (Neznamov & Teleshova 2009, vs piracetam) + EEG studies",Improved memory / cognition,"Strongest use, but Russian-only, no Western replication; methodology varies from FDA/EMA standards"
noopept,Noopept (Omberacetam),small_molecule,BDNF/NGF & neuroprotection mechanism,B,"Substantial preclinical (Ostrovskaya, Gudasheva)",Neurotrophic; multi-target,Animal/mechanistic; human translation is Russian-only
noopept,Noopept (Omberacetam),small_molecule,Cognitive enhancement in healthy adults (the popular use),D,Extrapolated + anecdotal,Suggestive,Weaker than the cognitive-deficit use — the inverse of how it's marketed
noopept,Noopept (Omberacetam),small_molecule,Anti-amyloid / Alzheimer's,D,Cellular/animal models (Jia 2011; Ostrovskaya 2014),Suggestive,Preclinical
noopept,Noopept (Omberacetam),small_molecule,Anxiolytic,D,Preclinical (cPG) + some Russian data,Suggestive,Early
noopept,Noopept (Omberacetam),small_molecule,Safety,,"Approved drug (Russia), oral, broad use",Generally well tolerated,"Mild (irritability, sleep changes, headache in some); long-term / Western data limited"
orforglipron,Orforglipron,small_molecule,Weight loss (obesity),B,"Phase 3 ATTAIN-1 (NEJM 2025, ~11–12%); NDA filed Dec 2025",Meaningful; semaglutide-like,"Strong Phase 3 and FDA-filed, but not yet approved; efficacy is semaglutide-level, not tirzepatide-level"
orforglipron,Orforglipron,small_molecule,Type-2 diabetes glycemic control,B,"Phase 3 ACHIEVE programme (5 trials, superior A1C; NEJM 2025)","Robust, foundational",Phase 3 complete/near-complete; T2D filing 2026; not yet approved
orforglipron,Orforglipron,small_molecule,Weight maintenance after injectables,B,ATTAIN-MAINTAIN (Dec 2025),Maintained (switch from Wegovy/Zepbound),First-of-its-kind; topline
orforglipron,Orforglipron,small_molecule,Manufacturing / access advantage,,Small-molecule chemistry,"Cheap, scalable, no cold chain, no food/water ritual",The reason it may matter more than its weight-loss number
orforglipron,Orforglipron,small_molecule,Safety,,Phase 3 (GI-predominant),Consistent with the GLP-1 class,Class-typical GI effects; investigational
oxytocin,Oxytocin,peptide,Labor induction / uterotonic / postpartum hemorrhage (the approved use),A,FDA-approved (Pitocin); decades of obstetric use; clear OTR→myometrial-contraction mechanism,,"Real, established medicine — but a hospital obstetric drug, nothing to do with the ""bonding"" uses it's sold for; misuse is dangerous"
oxytocin,Oxytocin,peptide,Lactation / milk let-down,B,Historically approved (Syntocinon nasal),,Withdrawn in US for commercial (not efficacy) reasons; still used in some countries
oxytocin,Oxytocin,peptide,"Social bonding / trust / empathy (healthy people — the ""love hormone"" claims)",D,Strong animal data; human findings largely failed to replicate; effect sizes small,,"The replication-crisis core: early trust/""mind-reading"" results didn't hold up; underpowered studies + publication bias"
oxytocin,Oxytocin,peptide,Autism spectrum disorder (social deficits),D,"Decades of RCTs; SOARS-B (large, Phase 2): no benefit; meta-analyses heterogeneous (I²≈93%)",,"""Down, but not out"" — inconsistent, unreplicated; possible subgroup/dose signals unproven"
oxytocin,Oxytocin,peptide,PTSD / anxiety / addiction / social anxiety,F,Preliminary human studies,,"Early, mixed; nothing established"
oxytocin,Oxytocin,peptide,Safety,,Extensive obstetric + research exposure,,"Obstetric IV: risk of uterine hyperstimulation, fetal distress, water intoxication at high/prolonged doses. Intranasal in trials: generally well-tolerated short-term; brain delivery uncertain"
palmitoyl-tripeptide-1-5,Palmitoyl Tripeptide-1 & Palmitoyl Tripeptide-5,peptide,Topical: appearance of fine lines / firmness — Palmitoyl Tripeptide-1,C,"Mechanistic (GHK matrikine, TGF-β) + Matrixyl 3000 combination studies",Plausible improvement,"Standalone human RCT is thin; most human data is for the Matrixyl 3000 combo, not the peptide alone"
palmitoyl-tripeptide-1-5,Palmitoyl Tripeptide-1 & Palmitoyl Tripeptide-5,peptide,Topical: appearance — Palmitoyl Tripeptide-5 (SYN-COLL),C,Manufacturer studies + TSP-1/TGF-β mechanism,Preliminary improvement,Manufacturer-dominated; preliminary
palmitoyl-tripeptide-1-5,Palmitoyl Tripeptide-1 & Palmitoyl Tripeptide-5,peptide,Collagen / ECM stimulation (both),C,"In-vitro (TGF-β pathway; collagen I/III, fibronectin)",Stimulates in vitro,In vitro; reported magnitudes are largely manufacturer-derived
palmitoyl-tripeptide-1-5,Palmitoyl Tripeptide-1 & Palmitoyl Tripeptide-5,peptide,"""Collagen-boosting"" / ""rebuilds collagen"" structural claim",D,Marketing claim,,"The controlled human endpoints are appearance-based — fine lines, wrinkle depth, scored firmness. Collagen synthesis was never measured in human skin; the collagen data are in-vitro fibroblast assays with largely manufacturer-derived magnitudes."
palmitoyl-tripeptide-1-5,Palmitoyl Tripeptide-1 & Palmitoyl Tripeptide-5,peptide,"Safety (both, topical)",,Broad cosmetic use,"Well tolerated, non-irritating",Good safety; no photosensitivity; suitable for sensitive skin
pdrn,PDRN (Polydeoxyribonucleotide),blend,"Topical cosmetic serum — soothing, hydration, barrier comfort",C,"Topical PDRN/polynucleotide cosmetics are humectant and film-forming; the supportable benefits are soothing, hydration, and post-procedure comfort — not the regeneration seen with the injectable.","Gentle soothing, hydration, and barrier comfort","PDRN is a large DNA-fragment molecule that mostly cannot cross the intact stratum corneum, so a topical serum does not deliver the regeneration the injected form does. Benefits are real but modest and comfort-focused."
pdrn,PDRN (Polydeoxyribonucleotide),blend,"Topical ""regeneration / rejuvenation"" (as marketed for salmon-DNA serums)",D,No evidence that a topical serum reproduces injected-PDRN outcomes; penetration of large polynucleotides through intact skin is doubtful.,Not supported for a topical serum,The serum borrows the reputation of the injected drug. Claims of dramatic renewal from a topical PDRN overstate the evidence and ignore the penetration problem.
pdrn,PDRN (Polydeoxyribonucleotide),blend,"Injected PDRN (clinical / aesthetic, in-office) — for context, NOT cosmetic scope",,"A well-studied regenerative compound as an INJECTED treatment — clinical evidence exists for wound healing, tissue repair, and aesthetic (""salmon DNA"") procedures, where it engages adenosine A2A receptors and supplies nucleotides to cells.",Genuine regenerative signalling when injected by a professional,"This is a medical/aesthetic procedure administered by qualified professionals and regulated as a drug or device in many regions — it is out of cosmetic scope, carries procedural risk, and is NOT what a topical serum delivers. Listed only so the two stories are not confused."
pdrn,PDRN (Polydeoxyribonucleotide),blend,"""Collagen-boosting"" topical collagen synthesis",D,Marketing claim,,"The human evidence for this molecule is for the injected form, which reaches the dermis directly and is regulated as a drug or device in some markets — a different route from the one being sold here. No human study shows a topical serum raising collagen synthesis; the topical case rests on reviews of the injected literature and on stratum-corneum permeation arguments, and a 2024 systematic review found the wider regenerative-aesthetics field lacks scientific rigour."
pemvidutide,Pemvidutide,peptide,MASH (the lead indication),C,IMPACT Phase 2b (48 wk): significant MASH resolution + fibrosis improvement; FDA Breakthrough,,Real signal + regulatory validation — but an earlier 24-wk primary-endpoint miss; Phase 3 (PERFORMA) pending
pemvidutide,Pemvidutide,peptide,Weight loss / obesity,B,MOMENTUM Phase 2 (48 wk): ~15.6% vs 0.4% placebo,,"Solid — but mid-pack for the class (< survodutide's ~18.7%; ≈ mazdutide); analysts called it ""non-differentiating"""
pemvidutide,Pemvidutide,peptide,Lean-mass preservation (the standout),B,Body composition: ~78% fat / ~22% lean of weight lost,,"Class-leading muscle sparing — arguably its best differentiator, addressing a real GLP-1-era concern"
pemvidutide,Pemvidutide,peptide,"Cardiometabolic (lipids, BP, liver fat)",B,"Phase 2: ↓ triglycerides, LDL, liver fat, blood pressure",,Consistent secondary benefits (glucagon + weight effects)
pemvidutide,Pemvidutide,peptide,AUD / alcohol liver disease,,RECLAIM (AUD) / RESTORE (ALD) trials ongoing; data 2026,,Exploratory; readouts pending
pemvidutide,Pemvidutide,peptide,Safety,B,Phase 2/2b exposure,,Favorable tolerability reported; investigational — Phase 3/long-term pending
petrelintide,Petrelintide,peptide,Weight loss / obesity,B,Phase 2 ZUPREME-1 (493 pts): met primary endpoint; up to 10.7% at 42 wk vs 1.7% placebo; Phase 1b MAD ~5.3% over 6 wk,,"Solid Phase 2 signal — but not yet Phase 3-confirmed, and the magnitude lags incretin leaders (the market's disappointment); women responded more than men"
petrelintide,Petrelintide,peptide,Tolerability (the differentiator),A,Phase 2: discontinuation 4.8% vs 4.9% placebo; vomiting < placebo; no vomiting in best arm; 98% reached maintenance dose,,"The genuinely standout result — placebo-like tolerability, a real potential adherence/combination advantage"
petrelintide,Petrelintide,peptide,Combination therapy (with CT-388),,Designed combination-ready; Phase 2 combo planned H2 2026,,Rationale strong (amylin + incretin complementary); no combination efficacy data yet
petrelintide,Petrelintide,peptide,Type 2 diabetes (ZUPREME-2),,Trial ongoing; readout later,,Data pending
petrelintide,Petrelintide,peptide,Lean-mass preservation,C,Hypothesized class advantage of amylins,,Plausible/claimed; not yet robustly demonstrated for petrelintide specifically
petrelintide,Petrelintide,peptide,Safety,B,Phase 2 (493) + Phase 1b,,No unexpected safety signals; mostly mild GI AEs; investigational — long-term/Phase 3 safety still to come
pramlintide,Pramlintide,peptide,Glycemic control — mealtime-insulin adjunct (T1D & T2D),A,Multiple Phase 3 RCTs → FDA approval 2005; HbA1c reduction ~0.3–0.6% on top of insulin,,"Approved and real, but the magnitude is modest; benefit is as an add-on to insulin, not alone; requires 3×/day dosing"
pramlintide,Pramlintide,peptide,Weight (in diabetes / obesity),C,RCTs + meta-analyses: ~1–2.3 kg loss; separate trials in non-diabetic obesity reduced caloric intake per meal,,Real but small weight effect; never developed/approved as a dedicated obesity drug; dwarfed by GLP-1s and newer amylins
pramlintide,Pramlintide,peptide,Postprandial glucose / glucagon suppression,B,Consistent across trials (the core mechanism),,Well-demonstrated physiologic effect; this is what it does best
pramlintide,Pramlintide,peptide,"Cardiometabolic biomarkers (lipids, BP)",C,Small studies: modest LDL/triglyceride reductions (T2D/T1D); neutral on blood pressure,,"Limited data; secondary effects, not a primary indication"
pramlintide,Pramlintide,peptide,Safety / tolerability,,Approval-grade dataset,,"Nausea most common (dose-escalated, then settles); increased hypoglycemia risk when used with insulin (a boxed concern — insulin dose must be reduced); injection burden (3×/day, separate from insulin) is the practical dealbreaker"
